Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
112,1,40.2664,0.03125,36.378,37.339,37.9,38.197,38.654,38.962,39.418,40.266,41.115,41.571,41.879,42.336,42.633,43.194,44.155
113,1,40.2995,0.03125,36.408,37.37,37.931,38.228,38.686,38.994,39.45,40.3,41.149,41.605,41.913,42.371,42.668,43.229,44.191
114,1,40.3325,0.03124,36.439,37.401,37.963,38.26,38.718,39.027,39.483,40.333,41.182,41.638,41.947,42.405,42.702,43.264,44.226
115,1,40.3653,0.03123,36.47,37.433,37.994,38.292,38.75,39.059,39.515,40.365,41.216,41.672,41.981,42.439,42.736,43.298,44.261
116,1,40.3979,0.03123,36.499,37.463,38.025,38.323,38.781,39.09,39.547,40.398,41.249,41.705,42.015,42.473,42.771,43.333,44.297
117,1,40.4303,0.03122,36.53,37.494,38.056,38.354,38.813,39.122,39.579,40.43,41.282,41.739,42.048,42.506,42.804,43.367,44.331
118,1,40.4625,0.03121,36.56,37.525,38.087,38.385,38.844,39.154,39.611,40.463,41.314,41.771,42.081,42.54,42.838,43.4,44.365
119,1,40.4946,0.03121,36.589,37.554,38.118,38.416,38.875,39.185,39.642,40.495,41.347,41.804,42.114,42.573,42.872,43.435,44.4
120,1,40.5264,0.0312,36.619,37.585,38.148,38.447,38.906,39.216,39.674,40.526,41.379,41.837,42.147,42.606,42.905,43.468,44.434
121,1,40.5581,0.0312,36.648,37.614,38.178,38.477,38.936,39.247,39.705,40.558,41.412,41.87,42.18,42.64,42.938,43.502,44.469
122,1,40.5895,0.03119,36.677,37.644,38.208,38.507,38.967,39.277,39.736,40.59,41.443,41.902,42.212,42.672,42.971,43.535,44.502
123,1,40.6208,0.03118,36.707,37.674,38.239,38.537,38.998,39.308,39.767,40.621,41.475,41.934,42.244,42.704,43.003,43.567,44.535
124,1,40.6519,0.03118,36.735,37.703,38.268,38.567,39.027,39.338,39.797,40.652,41.507,41.966,42.276,42.737,43.036,43.601,44.569
125,1,40.6829,0.03117,36.764,37.733,38.298,38.597,39.058,39.369,39.828,40.683,41.538,41.997,42.308,42.769,43.068,43.633,44.602
126,1,40.7136,0.03117,36.792,37.761,38.327,38.626,39.087,39.398,39.858,40.714,41.57,42.029,42.34,42.801,43.1,43.666,44.635
127,1,40.7442,0.03116,36.821,37.791,38.356,38.656,39.117,39.428,39.888,40.744,41.601,42.06,42.371,42.832,43.132,43.698,44.668
128,1,40.7746,0.03115,36.85,37.82,38.386,38.685,39.147,39.458,39.918,40.775,41.631,42.091,42.402,42.864,43.163,43.729,44.7
129,1,40.8048,0.03115,36.877,37.848,38.414,38.714,39.176,39.487,39.947,40.805,41.662,42.122,42.434,42.896,43.195,43.762,44.733
130,1,40.8348,0.03114,36.905,37.877,38.443,38.743,39.205,39.517,39.977,40.835,41.692,42.153,42.464,42.926,43.226,43.793,44.764
131,1,40.8647,0.03114,36.932,37.904,38.471,38.772,39.234,39.546,40.006,40.865,41.723,42.184,42.496,42.958,43.258,43.825,44.797
132,1,40.8944,0.03113,36.96,37.933,38.5,38.8,39.263,39.575,40.036,40.894,41.753,42.214,42.526,42.988,43.289,43.856,44.828
133,1,40.9239,0.03112,36.988,37.961,38.529,38.829,39.292,39.604,40.065,40.924,41.783,42.244,42.556,43.019,43.319,43.887,44.859
134,1,40.9533,0.03112,37.015,37.988,38.556,38.857,39.32,39.632,40.094,40.953,41.813,42.274,42.587,43.05,43.35,43.918,44.892
135,1,40.9824,0.03111,37.042,38.016,38.584,38.885,39.348,39.661,40.122,40.982,41.842,42.304,42.616,43.08,43.38,43.948,44.922
136,1,41.0115,0.03111,37.069,38.043,38.612,38.913,39.376,39.689,40.151,41.012,41.872,42.334,42.647,43.11,43.411,43.98,44.954
137,1,41.0403,0.0311,37.096,38.071,38.64,38.941,39.405,39.717,40.179,41.04,41.901,42.363,42.676,43.14,43.441,44.01,44.985
