Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
55,0.1368,16.1365,0.08725,12.26,13.134,13.669,13.959,14.417,14.733,15.211,16.137,17.111,17.654,18.03,18.601,18.98,19.713,21.028
56,0.1324,16.1698,0.08717,12.291,13.165,13.7,13.991,14.449,14.765,15.243,16.17,17.145,17.689,18.066,18.638,19.017,19.752,21.07
57,0.128,16.2021,0.08708,12.321,13.196,13.731,14.021,14.48,14.796,15.274,16.202,17.178,17.723,18.101,18.673,19.053,19.789,21.109
58,0.1238,16.2336,0.087,12.35,13.225,13.76,14.051,14.51,14.826,15.305,16.234,17.211,17.757,18.134,18.708,19.088,19.826,21.148
59,0.1196,16.2642,0.08692,12.378,13.254,13.789,14.08,14.539,14.856,15.335,16.264,17.243,17.789,18.167,18.741,19.123,19.861,21.186
60,0.1154,16.2941,0.08684,12.406,13.282,13.817,14.108,14.567,14.885,15.364,16.294,17.274,17.82,18.199,18.774,19.156,19.896,21.223
61,0.1113,16.3231,0.08676,12.433,13.309,13.845,14.136,14.595,14.913,15.392,16.323,17.304,17.851,18.23,18.806,19.188,19.929,21.259
62,0.1072,16.3513,0.08669,12.46,13.335,13.871,14.163,14.622,14.94,15.42,16.351,17.333,17.881,18.261,18.837,19.22,19.962,21.294
63,0.1032,16.3787,0.08661,12.486,13.361,13.897,14.189,14.649,14.966,15.447,16.379,17.361,17.91,18.29,18.867,19.25,19.993,21.327
64,0.0993,16.4053,0.08654,12.51,13.386,13.923,14.214,14.674,14.992,15.473,16.405,17.388,17.938,18.318,18.896,19.28,20.024,21.361
65,0.0954,16.4312,0.08646,12.535,13.411,13.947,14.239,14.699,15.017,15.498,16.431,17.415,17.965,18.346,18.924,19.309,20.054,21.392
66,0.0915,16.4562,0.08639,12.559,13.435,13.971,14.263,14.723,15.041,15.522,16.456,17.441,17.991,18.373,18.952,19.336,20.083,21.423
67,0.0877,16.4806,0.08632,12.582,13.458,13.995,14.286,14.747,15.065,15.546,16.481,17.466,18.017,18.399,18.978,19.363,20.111,21.453
68,0.084,16.5042,0.08626,12.604,13.48,14.017,14.309,14.769,15.088,15.569,16.504,17.49,18.042,18.424,19.004,19.39,20.138,21.482
69,0.0803,16.5271,0.08619,12.626,13.502,14.039,14.331,14.791,15.11,15.592,16.527,17.514,18.066,18.448,19.029,19.415,20.164,21.51
70,0.0766,16.5494,0.08612,12.648,13.524,14.06,14.352,14.813,15.132,15.613,16.549,17.537,18.089,18.472,19.053,19.44,20.19,21.538
71,0.0729,16.571,0.08606,12.668,13.544,14.081,14.373,14.834,15.153,15.635,16.571,17.559,18.112,18.495,19.077,19.464,20.215,21.565
72,0.0693,16.592,0.08599,12.689,13.565,14.101,14.394,14.854,15.173,15.655,16.592,17.581,18.134,18.517,19.1,19.487,20.239,21.59
73,0.0658,16.6124,0.08593,12.708,13.584,14.121,14.413,14.874,15.193,15.675,16.612,17.602,18.155,18.539,19.122,19.51,20.262,21.615
74,0.0623,16.6321,0.08587,12.727,13.603,14.14,14.432,14.893,15.212,15.695,16.632,17.622,18.176,18.56,19.143,19.532,20.285,21.64
75,0.0588,16.6514,0.08581,12.746,13.622,14.159,14.451,14.912,15.231,15.713,16.651,17.642,18.196,18.58,19.164,19.553,20.307,21.663
76,0.0554,16.67,0.08575,12.764,13.64,14.177,14.469,14.93,15.249,15.732,16.67,17.661,18.215,18.6,19.185,19.573,20.328,21.686
77,0.052,16.6882,0.08569,12.782,13.658,14.195,14.487,14.948,15.267,15.75,16.688,17.68,18.234,18.619,19.204,19.593,20.349,21.708
78,0.0486,16.7058,0.08564,12.799,13.675,14.211,14.504,14.965,15.284,15.767,16.706,17.698,18.253,18.638,19.224,19.613,20.369,21.73
79,0.0452,16.7229,0.08558,12.816,13.692,14.228,14.521,14.982,15.301,15.784,16.723,17.715,18.271,18.656,19.242,19.632,20.389,21.751
80,0.0419,16.7396,0.08552,12.833,13.708,14.245,14.537,14.998,15.317,15.8,16.74,17.732,18.288,18.674,19.26,19.65,20.407,21.771
81,0.0387,16.7557,0.08547,12.849,13.724,14.26,14.553,15.014,15.333,15.816,16.756,17.749,18.305,18.691,19.278,19.668,20.426,21.791
82,0.0354,16.7715,0.08541,12.865,13.74,14.276,14.568,15.029,15.349,15.832,16.772,17.765,18.321,18.708,19.294,19.685,20.444,21.811
83,0.0322,16.7867,0.08536,12.88,13.755,14.291,14.583,15.044,15.363,15.847,16.787,17.781,18.337,18.724,19.311,19.702,20.461,21.829
