Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
186,0.1243,7.977,0.10949,5.646,6.158,6.475,6.649,6.924,7.115,7.407,7.977,8.586,8.929,9.168,9.532,9.776,10.25,11.112
187,0.1239,7.9895,0.10946,5.655,6.168,6.486,6.659,6.935,7.127,7.418,7.99,8.599,8.942,9.182,9.547,9.791,10.266,11.128
188,0.1235,8.0021,0.10944,5.665,6.178,6.496,6.67,6.946,7.138,7.43,8.002,8.612,8.956,9.196,9.562,9.806,10.282,11.145
189,0.123,8.0145,0.10942,5.674,6.188,6.507,6.681,6.957,7.15,7.442,8.015,8.625,8.97,9.21,9.576,9.821,10.297,11.162
190,0.1226,8.0269,0.1094,5.683,6.198,6.517,6.691,6.968,7.161,7.453,8.027,8.639,8.984,9.224,9.591,9.836,10.313,11.179
191,0.1222,8.0392,0.10937,5.693,6.208,6.527,6.702,6.979,7.172,7.465,8.039,8.652,8.997,9.238,9.605,9.85,10.328,11.196
192,0.1218,8.0515,0.10935,5.702,6.218,6.538,6.713,6.99,7.183,7.477,8.052,8.665,9.011,9.252,9.619,9.865,10.344,11.212
193,0.1214,8.0637,0.10933,5.711,6.228,6.548,6.723,7.001,7.194,7.488,8.064,8.678,9.024,9.266,9.634,9.88,10.359,11.229
194,0.121,8.0759,0.10931,5.72,6.238,6.558,6.734,7.012,7.205,7.499,8.076,8.691,9.038,9.279,9.648,9.894,10.374,11.245
195,0.1206,8.0879,0.10929,5.729,6.247,6.568,6.744,7.022,7.216,7.511,8.088,8.704,9.051,9.293,9.662,9.909,10.39,11.262
196,0.1201,8.1,0.10927,5.738,6.257,6.578,6.754,7.033,7.227,7.522,8.1,8.717,9.064,9.307,9.676,9.923,10.405,11.278
197,0.1197,8.112,0.10925,5.747,6.267,6.588,6.764,7.044,7.238,7.533,8.112,8.73,9.078,9.32,9.69,9.938,10.42,11.294
198,0.1193,8.1239,0.10924,5.756,6.276,6.598,6.775,7.054,7.249,7.544,8.124,8.742,9.091,9.334,9.705,9.952,10.435,11.311
199,0.1189,8.1357,0.10922,5.765,6.286,6.608,6.785,7.065,7.259,7.555,8.136,8.755,9.104,9.347,9.718,9.966,10.45,11.327
200,0.1185,8.1475,0.1092,5.774,6.295,6.618,6.795,7.075,7.27,7.567,8.148,8.767,9.117,9.361,9.732,9.981,10.465,11.343
201,0.1181,8.1593,0.10919,5.782,6.304,6.628,6.805,7.086,7.281,7.578,8.159,8.78,9.13,9.374,9.746,9.995,10.48,11.359
202,0.1177,8.171,0.10917,5.791,6.314,6.638,6.815,7.096,7.291,7.589,8.171,8.793,9.143,9.387,9.76,10.009,10.494,11.375
203,0.1173,8.1826,0.10915,5.8,6.323,6.647,6.825,7.106,7.302,7.599,8.183,8.805,9.156,9.4,9.774,10.023,10.509,11.391
204,0.1169,8.1942,0.10914,5.809,6.332,6.657,6.835,7.116,7.312,7.61,8.194,8.817,9.169,9.414,9.787,10.037,10.524,11.407
205,0.1165,8.2058,0.10913,5.817,6.342,6.667,6.844,7.127,7.323,7.621,8.206,8.83,9.182,9.427,9.801,10.051,10.538,11.423
206,0.1161,8.2173,0.10911,5.826,6.351,6.676,6.854,7.137,7.333,7.632,8.217,8.842,9.194,9.44,9.815,10.065,10.553,11.438
207,0.1157,8.2287,0.1091,5.834,6.36,6.686,6.864,7.147,7.343,7.643,8.229,8.854,9.207,9.453,9.828,10.079,10.567,11.454
208,0.1153,8.2401,0.10908,5.843,6.369,6.695,6.874,7.157,7.354,7.653,8.24,8.866,9.22,9.466,9.841,10.092,10.582,11.47
209,0.1149,8.2514,0.10907,5.851,6.378,6.705,6.883,7.167,7.364,7.664,8.251,8.879,9.232,9.479,9.855,10.106,10.596,11.485
210,0.1145,8.2627,0.10906,5.859,6.387,6.714,6.893,7.177,7.374,7.674,8.263,8.891,9.245,9.492,9.868,10.12,10.611,11.501
211,0.1142,8.2739,0.10905,5.868,6.396,6.723,6.902,7.187,7.384,7.685,8.274,8.903,9.257,9.504,9.882,10.133,10.625,11.516
212,0.1138,8.2851,0.10903,5.876,6.405,6.733,6.912,7.197,7.394,7.695,8.285,8.915,9.27,9.517,9.895,10.147,10.639,11.532
