Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
53,1,38.7087,0.03025,35.09,35.985,36.506,36.783,37.208,37.495,37.919,38.709,39.498,39.922,40.209,40.635,40.911,41.433,42.327
54,1,38.7638,0.03021,35.145,36.04,36.561,36.838,37.263,37.55,37.974,38.764,39.554,39.978,40.265,40.69,40.966,41.488,42.383
55,1,38.8183,0.03018,35.198,36.093,36.615,36.891,37.317,37.604,38.028,38.818,39.608,40.033,40.32,40.745,41.022,41.544,42.439
56,1,38.8724,0.03014,35.252,36.147,36.669,36.945,37.371,37.658,38.082,38.872,39.663,40.087,40.374,40.8,41.076,41.598,42.493
57,1,38.9258,0.0301,35.305,36.2,36.722,36.999,37.424,37.711,38.136,38.926,39.716,40.14,40.427,40.853,41.129,41.652,42.547
58,1,38.9788,0.03007,35.357,36.252,36.774,37.051,37.477,37.764,38.188,38.979,39.769,40.194,40.481,40.907,41.183,41.705,42.601
59,1,39.0313,0.03003,35.409,36.305,36.827,37.103,37.529,37.816,38.241,39.031,39.822,40.246,40.533,40.959,41.236,41.758,42.653
60,1,39.0834,0.03,35.46,36.356,36.878,37.155,37.581,37.868,38.293,39.083,39.874,40.299,40.586,41.012,41.289,41.811,42.707
61,1,39.1349,0.02997,35.51,36.406,36.929,37.206,37.632,37.919,38.344,39.135,39.926,40.351,40.638,41.064,41.341,41.863,42.759
62,1,39.1861,0.02993,35.562,36.458,36.98,37.257,37.683,37.971,38.395,39.186,39.977,40.402,40.689,41.115,41.392,41.915,42.81
63,1,39.2368,0.0299,35.611,36.508,37.03,37.307,37.733,38.021,38.446,39.237,40.028,40.453,40.74,41.167,41.443,41.966,42.862
64,1,39.2871,0.02987,35.661,36.557,37.08,37.357,37.783,38.071,38.496,39.287,40.079,40.503,40.791,41.217,41.494,42.017,42.914
65,1,39.3369,0.02984,35.71,36.606,37.129,37.406,37.833,38.12,38.545,39.337,40.129,40.553,40.841,41.268,41.545,42.068,42.964
66,1,39.3863,0.02981,35.758,36.655,37.178,37.455,37.882,38.169,38.594,39.386,40.178,40.603,40.891,41.318,41.595,42.118,43.015
67,1,39.4353,0.02978,35.806,36.703,37.227,37.504,37.93,38.218,38.643,39.435,40.227,40.652,40.94,41.367,41.644,42.167,43.064
68,1,39.4838,0.02975,35.854,36.751,37.275,37.552,37.978,38.266,38.692,39.484,40.276,40.701,40.989,41.416,41.693,42.216,43.114
69,1,39.532,0.02972,35.901,36.799,37.322,37.599,38.026,38.314,38.74,39.532,40.324,40.75,41.038,41.465,41.742,42.265,43.163
70,1,39.5797,0.02969,35.948,36.846,37.37,37.647,38.074,38.362,38.787,39.58,40.372,40.798,41.086,41.513,41.79,42.313,43.211
71,1,39.6271,0.02966,35.995,36.893,37.417,37.694,38.121,38.409,38.834,39.627,40.42,40.845,41.133,41.56,41.838,42.361,43.259
72,1,39.674,0.02963,36.041,36.939,37.463,37.74,38.167,38.456,38.881,39.674,40.467,40.892,41.181,41.608,41.885,42.409,43.307
73,1,39.7206,0.02961,36.086,36.985,37.509,37.786,38.213,38.502,38.927,39.721,40.514,40.94,41.228,41.655,41.933,42.457,43.355
74,1,39.7668,0.02958,36.132,37.03,37.554,37.832,38.259,38.548,38.973,39.767,40.56,40.986,41.274,41.702,41.979,42.503,43.402
75,1,39.8127,0.02955,36.177,37.076,37.6,37.878,38.305,38.593,39.019,39.813,40.606,41.032,41.32,41.748,42.025,42.55,43.448
76,1,39.8581,0.02953,36.221,37.12,37.644,37.922,38.35,38.638,39.064,39.858,40.652,41.078,41.366,41.794,42.072,42.596,43.495
77,1,39.9033,0.0295,36.266,37.165,37.689,37.967,38.395,38.683,39.109,39.903,40.697,41.123,41.412,41.84,42.117,42.642,43.541
78,1,39.948,0.02948,36.309,37.208,37.733,38.011,38.439,38.727,39.154,39.948,40.742,41.169,41.457,41.885,42.163,42.688,43.587
79,1,39.9924,0.02945,36.353,37.252,37.777,38.055,38.483,38.772,39.198,39.992,40.787,41.213,41.502,41.93,42.208,42.732,43.632
80,1,40.0365,0.02943,36.395,37.295,37.82,38.098,38.526,38.815,39.242,40.037,40.831,41.258,41.547,41.975,42.253,42.778,43.678
